Dataset	H_Score
GSE106648	0.565526210424593
GSE107143	0.634765625
GSE111223	0.510984302982181
GSE111629	0.528566538703453
GSE118468	0.856388888888889
GSE118469	0.761831275720165
GSE122244	0.690634177546451
GSE130029	0.8339146567718
GSE130030	0.663335389100695
GSE131752	0.64904631262656
GSE131989	0.703049812581942
GSE134429	0.917385433517451
GSE143942	0.937927004674577
GSE144858	0.590843922180289
GSE145714	0.547788715838966
GSE156994	0.550478691617428
GSE166611	0.523868186017863
GSE175364	0.53755442670537
GSE182991	0.767673814165042
GSE193836	0.684
GSE214297	0.529379003063214
GSE217633	0.727311905751742
GSE219293	0.659939410139891
GSE32148	0.629043340577924
GSE42861	0.617911904027007
GSE56046	0.525229020912974
GSE56581	0.552597594499761
GSE59685	0.967185909061983
GSE67705	0.676443217945698
GSE67751	0.567079141727963
GSE71841	0.666377314814815
GSE72338	0.561995967741935
GSE72774	0.528099127363914
GSE72776	0.541613726553839
GSE77696	0.66737048447873
GSE81961	0.566686419753086
GSE87640	0.726790678326695
GSE87648	0.572696917875942
GSE99624	0.764467710024351
